"filename", "language", "Python", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\app.py", "Python", 300, 0, 0, 0, 8, 57, 365
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\controller.py", "Python", 10, 0, 0, 0, 0, 2, 12
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\css\auth.css", "PostCSS", 0, 0, 113, 0, 7, 15, 135
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\css\file.css", "PostCSS", 0, 0, 52, 0, 0, 10, 62
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\css\form.css", "PostCSS", 0, 0, 40, 0, 0, 5, 45
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\css\platforms.css", "PostCSS", 0, 0, 47, 0, 9, 12, 68
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\css\publicity.css", "PostCSS", 0, 0, 25, 0, 0, 6, 31
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\css\style.css", "PostCSS", 0, 0, 11, 0, 0, 1, 12
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\file-explorer.js", "JavaScript", 0, 0, 0, 99, 12, 22, 133
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\form-handler.js", "JavaScript", 0, 0, 0, 84, 14, 21, 119
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\platforms.js", "JavaScript", 0, 0, 0, 40, 3, 12, 55
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\tag-request.js", "JavaScript", 0, 0, 0, 5, 0, 3, 8
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\user-auth.js", "JavaScript", 0, 0, 0, 154, 7, 28, 189
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\vk-auth.js", "JavaScript", 0, 0, 0, 96, 6, 13, 115
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\youtube-auth.js", "JavaScript", 0, 0, 0, 54, 6, 8, 68
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\templates\base.html", "HTML", 0, 181, 0, 0, 4, 27, 212
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\utils\Telegram.py", "Python", 58, 0, 0, 0, 2, 13, 73
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\utils\VK.py", "Python", 35, 0, 0, 0, 3, 10, 48
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\utils\YouTube.py", "Python", 93, 0, 0, 0, 11, 18, 122
"Total", "-", 496, 181, 288, 532, 92, 283, 1872
