"filename", "language", "Python", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\app.py", "Python", -94, 0, 0, 0, -5, -19, -118
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\auth.py", "Python", 126, 0, 0, 0, 3, 24, 153
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\controller.py", "Python", -10, 0, 0, 0, 0, -2, -12
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\models.py", "Python", 18, 0, 0, 0, 0, 6, 24
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\css\platforms.css", "PostCSS", 0, 0, 0, 1, -9, 3, -5
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\auth\auth.js", "JavaScript", 0, 0, 42, 0, 0, 8, 50
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\auth\authz.js", "JavaScript", 0, 0, 54, 0, 1, 7, 62
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\auth\form-handler.js", "JavaScript", 0, 0, 70, 0, 9, 16, 95
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\auth\telegram-auth.js", "JavaScript", 0, 0, 38, 0, 0, 5, 43
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\auth\vk-auth.js", "JavaScript", 0, 0, 97, 0, 6, 13, 116
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\auth\youtube-auth.js", "JavaScript", 0, 0, 3, 0, 0, 0, 3
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\file-explorer.js", "JavaScript", 0, 0, -99, 0, -12, -22, -133
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\form-handler.js", "JavaScript", 0, 0, -84, 0, -14, -21, -119
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\interface\auth-popup.js", "JavaScript", 0, 0, 34, 0, 5, 6, 45
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\interface\file-explorer.js", "JavaScript", 0, 0, 99, 0, 12, 22, 133
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\interface\platforms.js", "JavaScript", 0, 0, 25, 0, 0, 7, 32
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\interface\tag-request.js", "JavaScript", 0, 0, 5, 0, 0, 3, 8
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\platforms.js", "JavaScript", 0, 0, -40, 0, -3, -12, -55
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\tag-request.js", "JavaScript", 0, 0, -5, 0, 0, -3, -8
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\user-auth.js", "JavaScript", 0, 0, -154, 0, -7, -28, -189
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\vk-auth.js", "JavaScript", 0, 0, -96, 0, -6, -13, -115
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\static\js\youtube-auth.js", "JavaScript", 0, 0, -54, 0, -6, -8, -68
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\templates\base.html", "HTML", 0, -2, 0, 0, -4, -1, -7
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\utils\VK.py", "Python", -1, 0, 0, 0, 3, 0, 2
"c:\Users\kostyan\Yandex.Disk\MultiLoaderWeb\MultiLoader\utils\YouTube.py", "Python", -20, 0, 0, 0, -11, -9, -40
"Total", "-", 19, -2, -65, 1, -38, -18, -103
